Painting,Vertices,Vertices Per Polygon,Replication,MSE
Salvator Mundi,60,3,1,1110.7355092592593
Salvator Mundi,60,3,1,1068.9714583333334
Salvator Mundi,60,3,1,1047.1781944444444
Salvator Mundi,60,3,1,1086.5326388888886
Salvator Mundi,60,3,1,1114.7805787037037
Salvator Mundi,60,3,2,1051.679537037037
Salvator Mundi,60,3,2,1048.4797222222223
Salvator Mundi,60,3,2,1065.7935185185186
Salvator Mundi,60,3,2,997.4305555555555
Salvator Mundi,60,3,2,1021.659976851852
Salvator Mundi,60,4,1,1017.4262037037037
Salvator Mundi,60,4,1,1119.753587962963
Salvator Mundi,60,4,1,1038.5775925925923
Salvator Mundi,60,4,1,1065.3690046296297
Salvator Mundi,60,4,1,992.6051620370372
Salvator Mundi,60,4,2,990.5397222222223
Salvator Mundi,60,4,2,1001.8426157407408
Salvator Mundi,60,4,2,1154.414351851852
Salvator Mundi,60,4,2,1091.0462962962963
Salvator Mundi,60,4,2,1037.0544212962964
Salvator Mundi,60,5,1,1098.247523148148
Salvator Mundi,60,5,1,1018.8982638888887
Salvator Mundi,60,5,1,1041.7674768518518
Salvator Mundi,60,5,1,1100.5533796296297
Salvator Mundi,60,5,1,1232.1527546296295
Salvator Mundi,60,5,2,1069.3804398148147
Salvator Mundi,60,5,2,1072.4060416666666
Salvator Mundi,60,5,2,1082.9385648148148
Salvator Mundi,60,5,2,1116.638888888889
Salvator Mundi,60,5,2,1133.9589583333334
Salvator Mundi,60,6,1,1193.7708796296295
Salvator Mundi,60,6,1,1151.9056018518518
Salvator Mundi,60,6,1,1261.1502314814816
Salvator Mundi,60,6,1,1076.224861111111
Salvator Mundi,60,6,1,1089.2850925925923
Salvator Mundi,60,6,2,1244.541273148148
Salvator Mundi,60,6,2,1040.852962962963
Salvator Mundi,60,6,2,1155.7987037037035
Salvator Mundi,60,6,2,1136.8662962962962
Salvator Mundi,60,6,2,1235.523425925926
Salvator Mundi,120,3,1,804.4303703703704
Salvator Mundi,120,3,1,730.7869444444444
Salvator Mundi,120,3,1,728.1275925925926
Salvator Mundi,120,3,1,772.5595370370371
Salvator Mundi,120,3,1,794.9890046296298
Salvator Mundi,120,3,2,733.9613194444444
Salvator Mundi,120,3,2,788.6618518518518
Salvator Mundi,120,3,2,804.4567592592592
Salvator Mundi,120,3,2,793.4106481481482
Salvator Mundi,120,3,2,775.7067824074073
Salvator Mundi,120,4,1,862.6347916666666
Salvator Mundi,120,4,1,836.6773611111113
Salvator Mundi,120,4,1,794.3340972222223
Salvator Mundi,120,4,1,785.4225462962962
Salvator Mundi,120,4,1,793.1274074074074
Salvator Mundi,120,4,2,745.7431018518519
Salvator Mundi,120,4,2,787.1618055555556
Salvator Mundi,120,4,2,774.088287037037
Salvator Mundi,120,4,2,787.7458564814815
Salvator Mundi,120,4,2,785.6821296296298
Salvator Mundi,120,5,1,885.6319212962962
Salvator Mundi,120,5,1,842.8499537037038
Salvator Mundi,120,5,1,837.6355787037038
Salvator Mundi,120,5,1,770.8016203703703
Salvator Mundi,120,5,1,861.6356944444444
Salvator Mundi,120,5,2,778.0690509259259
Salvator Mundi,120,5,2,819.4621990740741
Salvator Mundi,120,5,2,841.1481018518518
Salvator Mundi,120,5,2,829.7480092592592
Salvator Mundi,120,5,2,885.9729166666667
Salvator Mundi,120,6,1,811.8896990740741
Salvator Mundi,120,6,1,860.1339814814813
Salvator Mundi,120,6,1,871.0850925925927
Salvator Mundi,120,6,1,799.95125
Salvator Mundi,120,6,1,786.3249768518518
Salvator Mundi,120,6,2,910.0580555555556
Salvator Mundi,120,6,2,880.6486111111111
Salvator Mundi,120,6,2,878.2057175925926
Salvator Mundi,120,6,2,871.0240277777777
Salvator Mundi,120,6,2,910.4029861111113
Salvator Mundi,180,3,1,686.3082638888889
Salvator Mundi,180,3,1,658.3668055555555
Salvator Mundi,180,3,1,655.5510416666667
Salvator Mundi,180,3,1,651.3065509259259
Salvator Mundi,180,3,1,604.1040277777778
Salvator Mundi,180,3,2,647.2888194444445
Salvator Mundi,180,3,2,638.3053240740741
Salvator Mundi,180,3,2,642.6607175925926
Salvator Mundi,180,3,2,669.3068287037038
Salvator Mundi,180,3,2,619.2732175925926
Salvator Mundi,180,4,1,611.3611342592593
Salvator Mundi,180,4,1,675.6080787037038
Salvator Mundi,180,4,1,712.7444212962962
Salvator Mundi,180,4,1,678.3473148148148
Salvator Mundi,180,4,1,665.5827083333334
Salvator Mundi,180,4,2,626.0228935185186
Salvator Mundi,180,4,2,726.4380324074074
Salvator Mundi,180,4,2,648.2595601851851
Salvator Mundi,180,4,2,707.4101851851852
Salvator Mundi,180,4,2,688.960625
Salvator Mundi,180,5,1,674.7118981481483
Salvator Mundi,180,5,1,735.5524305555556
Salvator Mundi,180,5,1,711.1985416666665
Salvator Mundi,180,5,1,633.4072685185185
Salvator Mundi,180,5,1,674.940162037037
Salvator Mundi,180,5,2,729.4282870370372
Salvator Mundi,180,5,2,651.6629166666668
Salvator Mundi,180,5,2,705.0423842592592
Salvator Mundi,180,5,2,618.5723148148147
Salvator Mundi,180,5,2,697.4351157407408
Salvator Mundi,180,6,1,736.7099305555556
Salvator Mundi,180,6,1,704.8184953703702
Salvator Mundi,180,6,1,663.0120370370371
Salvator Mundi,180,6,1,747.9716898148148
Salvator Mundi,180,6,1,711.8603472222223
Salvator Mundi,180,6,2,718.2301851851853
Salvator Mundi,180,6,2,679.7323842592592
Salvator Mundi,180,6,2,698.9322453703703
Salvator Mundi,180,6,2,739.4585185185185
